text,x,y,width,paragraph_height,para_line_count,Avg_line_height,file_name
"Created with an evaluation copy of Aspose.Words. To remove all limitations, you can use Free Temporary License https://products.aspose.com/words/temporary-license/",49.5,56,1498.800049,13.79899597,1,13.79899597,Sample documents\2022-MetLife-Annual-Report_website-version
2022 Annual Report,214.1000061,69.7990036,1149.449951,275.4949951,1,275.4949951,Sample documents\2022-MetLife-Annual-Report_website-version
UNITED STATES SECURITIES AND EXCHANGE COMMISSION,172.1999969,56,1386.099976,301.7940063,2,150.8970032,Sample documents\2022-MetLife-Annual-Report_website-version
"Washington, D.C. 20549
__________________________",254,68.89900208,1104,28.34999847,2,14.17499924,Sample documents\2022-MetLife-Annual-Report_website-version
Form 10-K,279.8999939,97.24900055,1278.400024,15.74900055,1,15.74900055,Sample documents\2022-MetLife-Annual-Report_website-version
(Mark One),49.5,112.9980011,1508.800049,10.84899902,1,10.84899902,Sample documents\2022-MetLife-Annual-Report_website-version
☑ ANNUAL REPORT PURSUANT TO SECTION 13 OR 15(d) OF THE SECURITIES EXCHANGE ACT OF 1934,79.59999847,123.8470001,1478.699951,14.19099426,1,14.19099426,Sample documents\2022-MetLife-Annual-Report_website-version
"For the fiscal year ended December 31, 2022",230.5,138.0379944,1327.800049,12.64900208,1,12.64900208,Sample documents\2022-MetLife-Annual-Report_website-version
or,302.2000122,150.6869965,1256.100098,9.899002075,1,9.899002075,Sample documents\2022-MetLife-Annual-Report_website-version
☐ TRANSITION REPORT PURSUANT TO SECTION 13 OR 15(d) OF THE SECURITIES EXCHANGE ACT OF 1934,79.59999847,160.5859985,1478.699951,12.39100647,1,12.39100647,Sample documents\2022-MetLife-Annual-Report_website-version
For the transition period from              to,236.9499969,172.977005,1321.349976,12.24899292,1,12.24899292,Sample documents\2022-MetLife-Annual-Report_website-version
Commission file number: 001-15787,244.3999939,185.2259979,1313.900024,12.89900208,1,12.89900208,Sample documents\2022-MetLife-Annual-Report_website-version
"MetLife, Inc.",261.3500061,198.125,1296.949951,20.397995,1,20.397995,Sample documents\2022-MetLife-Annual-Report_website-version
(Exact name of registrant as specified in its charter),222.3000031,218.522995,1336,12.44900513,1,12.44900513,Sample documents\2022-MetLife-Annual-Report_website-version
Delaware 13-4075851,144.1000061,230.9720001,1414.199951,16.44900513,1,16.44900513,Sample documents\2022-MetLife-Annual-Report_website-version
(State or other jurisdiction of (I.R.S. Employer incorporation or organization) Identification No.),117.25,247.4210052,1340.199951,12.39900208,1,12.39900208,Sample documents\2022-MetLife-Annual-Report_website-version
"200 Park Avenue,  New York, NY 10166-0188 (Address of principal executive offices) (Zip Code)",95.09999847,259.8200073,1353.449951,15.3500061,1,15.3500061,Sample documents\2022-MetLife-Annual-Report_website-version
(212) 578-9500,281,275.1700134,1277.300049,15.44900513,1,15.44900513,Sample documents\2022-MetLife-Annual-Report_website-version
"(Registrant’s telephone number, including area code)",220.0500031,290.618988,1338.25,10.04901123,1,10.04901123,Sample documents\2022-MetLife-Annual-Report_website-version
Securities registered pursuant to Section 12(b) of the Act:,49.5,300.6679993,1508.800049,12.89898682,1,12.89898682,Sample documents\2022-MetLife-Annual-Report_website-version
"Title of each class Trading Symbol(s) Name of each exchange on which registered Common Stock, par value $0.01 MET New York Stock Exchange",113.5500031,313.5669861,1428.900024,16.5,1,16.5,Sample documents\2022-MetLife-Annual-Report_website-version
