id,age,income,credit_score,purchase_amount,is_customer,satisfaction_score
1,34,58000,720,450,1,8
2,28,42000,680,220,0,5
3,45,85000,760,1200,1,9
4,39,72000,710,380,1,7
5,52,93000,790,1850,1,9
6,24,38000,650,180,0,6
7,31,62000,720,520,1,8
8,43,78000,740,950,1,8
9,36,65000,710,620,1,7
10,29,45000,670,280,0,5
11,47,88000,770,1380,1,9
12,26,41000,660,210,0,6
13,33,56000,700,490,0,7
14,48,82000,750,1050,1,8
15,41,76000,740,880,1,8
16,31,54000,690,320,0,6
17,38,69000,730,750,1,8
18,44,91000,780,1500,1,9
19,27,40000,650,230,0,5
20,35,67000,720,580,1,7
21,50,95000,780,1650,1,9
22,29,48000,680,260,0,6
23,37,71000,740,830,1,8
24,46,86000,760,1150,1,8
25,30,52000,690,310,0,6
26,42,79000,750,980,1,8
27,25,39000,640,190,0,5
28,32,64000,710,540,1,7
29,49,92000,780,1550,1,9
30,40,75000,730,870,1,8
31,28,44000,670,250,0,6
32,36,68000,720,610,1,7
33,51,96000,790,1750,1,9
34,27,43000,660,240,0,5
35,39,73000,740,840,1,8
36,45,87000,760,1250,1,9
37,33,60000,710,510,1,7
38,41,77000,740,920,1,8
39,26,41000,650,210,0,6
40,38,72000,730,760,1,8
41,47,89000,770,1420,1,9
42,30,53000,690,320,0,6
43,35,66000,720,560,1,7
44,48,91000,780,1480,1,9
45,29,47000,670,270,0,6
46,40,76000,740,890,1,8
47,53,98000,800,1950,1,10
48,31,55000,700,350,0,7
49,37,70000,730,780,1,8
50,44,85000,760,1100,1,8
51,28,45000,660,230,0,5
52,39,74000,740,820,1,8
53,46,88000,770,1320,1,9
54,32,59000,700,440,0,7
55,42,78000,750,970,1,8
56,25,40000,640,200,0,5
57,34,63000,710,530,1,7
58,49,93000,780,1580,1,9
59,36,67000,720,600,1,8
60,43,81000,750,1000,1,8
61,27,42000,650,220,0,5
62,38,73000,730,790,1,8
63,50,94000,780,1680,1,9
64,29,49000,680,270,0,6
65,35,68000,720,630,1,7
66,45,86000,760,1180,1,8
67,30,51000,690,290,0,6
68,41,78000,740,940,1,8
69,26,40000,640,210,0,5
70,37,71000,730,750,1,8
71,52,97000,790,1820,1,9
72,31,56000,700,360,1,7
73,39,74000,740,860,1,8
74,47,89000,770,1280,1,9
75,28,46000,670,240,0,6
76,36,69000,720,640,1,7
77,51,96000,790,1780,1,9
78,33,62000,710,480,1,7
79,40,77000,740,910,1,8
80,25,39000,630,190,0,5
81,34,64000,710,550,1,7
82,48,90000,770,1420,1,9
83,29,48000,680,250,0,6
84,37,72000,730,770,1,8
85,46,87000,760,1220,1,9
86,30,52000,690,310,0,6
87,42,79000,750,960,1,8
88,27,43000,660,220,0,5
89,35,66000,720,570,1,7
90,49,92000,780,1520,1,9
91,32,58000,700,420,0,7
92,43,82000,750,1030,1,8
93,26,41000,650,200,0,5
94,38,73000,730,800,1,8
95,50,95000,780,1700,1,9
96,31,57000,700,390,1,7
97,39,75000,740,880,1,8
98,44,85000,760,1120,1,8
99,28,47000,670,260,0,6
100,36,70000,720,670,1,7
