Campaign name,Ad set name,Ad name,Age,Gender,Delivery status,Delivery level,Objective,Amount spent (INR),Ad set name,Impressions,Reach,Result Type,Results,Clicks (all),Link clicks,Landing page views,Frequency,CTR (link click-through rate),CTR (all),CPC (all),Cost per result,Messaging conversations started,Quality ranking,Engagement rate ranking,Conversion rate ranking,URL parameters,Reporting starts,Reporting ends
Brand Awareness - 10 June - Versova,Brand Awareness - 10 June - Versova,Versova Video - 10 June,25-34,male,not_delivering,ad,OUTCOME_AWARENESS,3438.63,Brand Awareness - 10 June - Versova,209936,147246,Reach,147246,225,92,,1.42575011,0.04382288,0.10717552,15.28281243,23.35,,-,-,-,,2022-09-25,2024-09-13
IBC-Lover Boy- Engagement- Post Likes-Pune+Mumbai,IBC-Lover Boy- Engagement- Post Likes-Pune+Mumbai,IBC-Lover Boy- Engagement- Post Likes-Pune+Mumbai,25-34,male,not_delivering,ad,OUTCOME_ENGAGEMENT,3423.68,IBC-Lover Boy- Engagement- Post Likes-Pune+Mumbai,81785,59663,Post engagements,13566,260,,,1.37078256,,0.31790671,13.16800061,0.25,,-,-,-,,2022-09-25,2024-09-13
IBC-Engagement-DORADO-Pune+MUMBAI-August 2024,IBC-Engagement-DORADO-Pune+MUMBAI-August 2024,IBC-Engagement-DORADO-Pune+MUMBAI-August 2024,25-34,male,not_delivering,ad,OUTCOME_ENGAGEMENT,3384.04,IBC-Engagement-DORADO-Pune+MUMBAI-August 2024,76872,49467,Post engagements,14534,144,,,1.5540057,,0.18732438,23.50024429,0.23,,-,-,-,,2022-09-25,2024-09-13
Brand Awarness Ad_Varsova,Brand Awarness Ad_varsova,Varsova Vibe Video,18-24,male,not_delivering,ad,OUTCOME_AWARENESS,2905.01,Brand Awarness Ad_varsova,982663,580853,Reach,580853,590,166,,1.6917585,0.01689287,0.06004093,4.92374731,5.00,,-,-,-,,2022-09-25,2024-09-13
IBC-Engagement-Reel-Video Views-Remarketing-Pune+Mumbai-August 2024,IBC-Engagement-Reel-Video Views-Remarketing-Pune+Mumbai-August 2024,IBC-Engagement-Reel-Video Views-Remarketing-Pune+Mumbai-August 2024,25-34,male,not_delivering,ad,OUTCOME_ENGAGEMENT,2789.17,IBC-Engagement-Reel-Video Views-Remarketing-Pune+Mumbai-August 2024,90038,22004,ThruPlay,4169,182,,,4.09189238,,0.20213688,15.32512233,0.67,,-,-,-,,2022-09-25,2024-09-13
Brand Awareness - 10 June - Balewadi,Brand Awareness - 10 June - Balewadi,Balewadi Video - 10 June,25-34,male,not_delivering,ad,OUTCOME_AWARENESS,2709.65,Brand Awareness - 10 June - Balewadi,714962,545002,Reach,545002,498,156,,1.31185207,0.02181934,0.06965405,5.44105827,4.97,,-,-,-,,2022-09-25,2024-09-13
Brand Awareness - 10 June - Kalyani Nagar,Brand Awareness - 10 June - Kalyani Nagar,Kalyani Nagar Video - 10 June,25-34,male,not_delivering,ad,OUTCOME_AWARENESS,2655.38,Brand Awareness - 10 June - Kalyani Nagar,701127,543470,Reach,543470,508,187,,1.29009329,0.02667134,0.07245478,5.22711769,4.89,,-,-,-,,2022-09-25,2024-09-13
Brand Awareness - Powai Vibe,Brand Awareness - Powai Vibe,Powai Vibe Video,25-34,male,not_delivering,ad,OUTCOME_AWARENESS,2293.19,Brand Awareness - Powai Vibe,636754,553463,Reach,553463,454,131,,1.15049064,0.02057309,0.07129912,5.05107932,4.14,,-,-,-,,2022-09-25,2024-09-13
IBC-International Beer Day- Engagement-Pune+Mumbai-August 2024,IBC-International Beer Day- Engagement-Pune+Mumbai-August 2024,IBC-International Beer Day- Engagement-Pune+Mumbai-August 2024,25-34,male,not_delivering,ad,OUTCOME_ENGAGEMENT,2065.97,IBC-International Beer Day- Engagement-Pune+Mumbai-August 2024,44874,38748,Post engagements,6327,505,81,,1.15809848,0.18050542,1.12537327,4.09102228,0.33,,-,-,-,,2022-09-25,2024-09-13
Brand Awareness - 10 June - Balewadi,Brand Awareness - 10 June - Balewadi,Balewadi Video - 10 June,18-24,male,not_delivering,ad,OUTCOME_AWARENESS,2062.32,Brand Awareness - 10 June - Balewadi,549716,376817,Reach,376817,445,163,,1.45884076,0.02965167,0.08095089,4.63443597,5.47,,-,-,-,,2022-09-25,2024-09-13
